"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Il13ra1",0.127179390659791,0.343797147770772,0.109,0.089,1,0,0.02
"Sec24c",0.127852531125052,0.295517874796799,0.107,0.087,1,0,0.02
"Sgta",0.128412336446564,0.263069244398225,0.095,0.075,1,0,0.02
"Stim1",0.12850485973592,0.325320250329893,0.109,0.089,1,0,0.02
"Sort1",0.129275615186254,0.312770252150147,0.111,0.091,1,0,0.02
"Letmd1",0.132511625391063,0.307923480182485,0.099,0.079,1,0,0.02
"Eif4a3",0.156105061361737,0.298884725895198,0.135,0.115,1,0,0.02
"Nsmf",0.166932326815733,0.305116679606712,0.125,0.105,1,0,0.02
"Hdac1",0.170085565918229,0.27876535265976,0.123,0.103,1,0,0.02
"H2afz",0.170115937666669,0.30653875467591,0.128,0.108,1,0,0.02
"Gstp1",0.170486641271908,0.228319930350836,0.131,0.111,1,0,0.02
"Sec61a1",0.170774455712136,0.302496931218632,0.126,0.106,1,0,0.02
"Cd34",0.0109074710350131,0.960468508219266,0.04,0.02,1,0,0.02
"Sncg",0.00428820176626071,1.20849848943809,0.036,0.016,1,0,0.02
"Rgs6",0.0050630198461591,1.11898490862299,0.037,0.017,1,0,0.02
"G6pdx",0.0155469987119937,0.804349306301985,0.043,0.023,1,0,0.02
"Camk2g",0.0353963280940097,0.605803626919904,0.059,0.039,1,0,0.02
"Atxn3",0.0384109365394428,0.487320010827461,0.06,0.04,1,0,0.02
"Prpsap2",0.040646032956364,0.593638690013172,0.062,0.042,1,0,0.02
"Sigmar1",0.0823687966621462,0.444453361215601,0.076,0.056,1,0,0.02
"Smarcd2",0.0864927158373139,0.362278848326124,0.076,0.056,1,0,0.02
"Epcam",0.12508152218686,0.415823462685599,0.102,0.082,1,0,0.02
"Supt20",0.139010683129765,0.308455480080674,0.103,0.083,1,0,0.02
"Jak2",0.168960955097784,0.23280732134315,0.121,0.101,1,0,0.02
"Mdm4",0.226783837146459,0.137172042292641,0.157,0.137,1,0,0.02
"Erbin",0.27628763542121,0.102789048266977,0.186,0.166,1,0,0.02
"Dync1h1",0.307008661732004,0.0936704036560543,0.208,0.188,1,0,0.02
"Rhoc",0.247918795889182,0.235651859943612,0.199,0.18,1,0,0.019
"Sf1",0.25775488275605,0.199623550759398,0.257,0.238,1,0,0.019
"Gnao1",0.310840242480626,0.0706172473875606,0.191,0.172,1,0,0.019
"Anapc5",0.345086515680173,0.103909588160892,0.261,0.242,1,0,0.019
"Hoxd4",0.00347350534171863,1.29655466610329,0.032,0.013,1,0,0.019
"Cldn2",0.0199716490668747,0.922993802800604,0.042,0.023,1,0,0.019
"Etfbkmt",0.0203066674036703,0.899697182889465,0.042,0.023,1,0,0.019
"Ube2g1",0.133670339716727,0.355041904938395,0.091,0.072,1,0,0.019
"Khdrbs1",0.204071647287553,0.202669410635895,0.134,0.115,1,0,0.019
"Pdk4",0.0219421924545914,0.935593839580237,0.043,0.024,1,0,0.019
"Miga1",0.0433109221342174,0.625025606857423,0.052,0.033,1,0,0.019
"Ccser2",0.0905693045993189,0.385559672162033,0.071,0.052,1,0,0.019
