"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Olfm3",0.309459356749932,1.04690864288967,0,0,1,0,0
"Pcdha7",0.309459356749932,1.04690864288967,0,0,1,0,0
"Phex",0.309459356749932,1.04690864288967,0,0,1,0,0
"Pld5",0.309459356749932,1.04690864288967,0,0,1,0,0
"Pms2",0.309459356749932,1.04690864288967,0,0,1,0,0
"Pomc",0.309459356749932,1.04690864288967,0,0,1,0,0
"Rorb",0.309459356749932,1.04690864288967,0,0,1,0,0
"Selenok",0.309459356749932,1.04690864288967,0,0,1,0,0
"Slc2a2",0.309459356749932,1.04690864288967,0,0,1,0,0
"Slitrk3",0.309459356749932,1.04690864288967,0,0,1,0,0
"Sox2",0.309459356749932,1.04690864288967,0,0,1,0,0
"Sox8",0.309459356749932,1.04690864288967,0,0,1,0,0
"Tac2",0.309459356749932,1.04690864288967,0,0,1,0,0
"Tas1r3",0.309459356749932,1.04690864288967,0,0,1,0,0
"Tesmin",0.309459356749932,1.04690864288967,0,0,1,0,0
"Fbxl16",0.313236662618107,-0.690056951276539,0,0,1,0,0
"Grin2d",0.313236662618107,-0.690056951276539,0,0,1,0,0
"Izumo1r",0.313236662618107,-0.690056951276539,0,0,1,0,0
"Pald1",0.313236662618107,-0.690056951276539,0,0,1,0,0
"Sema3e",0.313236662618107,-0.690056951276539,0,0,1,0,0
"Slc8a3",0.313236662618107,-0.690056951276539,0,0,1,0,0
"Agtr1b",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Amigo3",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Ascl1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Asxl3",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Atp2b2",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Bmpr1b",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Cbln3",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Cd320",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Cdh26",0.325193649985688,-0.953091357110333,0,0,1,0,0
